family	bucket	seed_name	ready_n	used_n	failed_n	inventory_unused_n	unique_ready_url_n	unique_used_url_n	supply_status
CISA	LAW_REGULATION	CISA	0	5	8	0	0	5	EXHAUSTED_WITH_FAILURES
SEC	LAW_REGULATION	SEC	0	1	1	0	0	1	EXHAUSTED_WITH_FAILURES
FTC	LAW_REGULATION	FTC	0	1	0	0	0	1	EXHAUSTED
FSB	LAW_REGULATION	FSB	0	1	0	0	0	1	EXHAUSTED
OECD	LAW_REGULATION	OECD_POLICY	0	4	0	0	0	4	EXHAUSTED
NIST	TECH_STANDARD	NIST	1	6	0	1	0	4	LOW_SUPPLY
ISO	TECH_STANDARD	ISO	0	7	0	0	0	7	EXHAUSTED
RFC	TECH_STANDARD	RFC	0	4	6	0	0	4	EXHAUSTED_WITH_FAILURES
W3C	TECH_STANDARD	W3C	0	1	0	0	0	1	EXHAUSTED
LINUX	TECH_STANDARD	LINUX	0	2	0	0	0	2	EXHAUSTED
OPENAI	AI	OPENAI	0	3	0	0	0	3	EXHAUSTED
ANTHROPIC	AI	ANTHROPIC	1	2	0	1	0	2	LOW_SUPPLY
ALPHABET	AI	GOOGLE_DEEPMIND	0	2	0	0	0	2	EXHAUSTED
MICROSOFT	AI	MICROSOFT_AI	0	3	0	0	0	3	EXHAUSTED
NVIDIA	AI	NVIDIA_AI	1	4	1	1	0	3	LOW_SUPPLY
WHO	MED_HEALTH	WHO	0	1	0	0	0	1	EXHAUSTED
FDA	MED_HEALTH	FDA	0	1	0	0	0	1	EXHAUSTED
EMA	MED_HEALTH	EMA	0	1	0	0	0	1	EXHAUSTED
CDC	MED_HEALTH	CDC	0	1	0	0	0	1	EXHAUSTED
NIH	MED_HEALTH	NIH	0	1	0	0	0	1	EXHAUSTED
IOC	SPORTS_GOV	IOC	0	0	0	0	0	0	NO_REGISTRY_HISTORY
FIFA	SPORTS_GOV	FIFA	0	1	0	0	0	1	EXHAUSTED
WADA	SPORTS_GOV	WADA	0	1	0	0	0	1	EXHAUSTED
MLB	SPORTS_GOV	MLB	0	1	0	0	0	1	EXHAUSTED
NCAA	SPORTS_GOV	NCAA	0	0	0	0	0	0	NO_REGISTRY_HISTORY
IMF	ECON_FIN	IMF	0	1	0	0	0	1	EXHAUSTED
BIS	ECON_FIN	BIS	0	1	0	0	0	1	EXHAUSTED
WORLDBANK	ECON_FIN	WORLD_BANK	0	1	0	0	0	1	EXHAUSTED
UN	PUBLIC_IGO	UN	0	1	0	0	0	1	EXHAUSTED
UNESCO	PUBLIC_IGO	UNESCO	0	4	0	0	0	4	EXHAUSTED
IAEA	PUBLIC_IGO	IAEA	0	1	0	0	0	1	EXHAUSTED
EU	PUBLIC_IGO	EU_PUBLIC	0	3	0	0	0	3	EXHAUSTED
NSF	EDU_RESEARCH	NSF	0	1	0	0	0	1	EXHAUSTED
ERIC	EDU_RESEARCH	ERIC	0	1	0	0	0	1	EXHAUSTED
TESLA	INDUSTRY_TECH	TESLA	0	2	0	0	0	2	EXHAUSTED
META	INDUSTRY_TECH	META	0	2	0	0	0	2	EXHAUSTED
